author,download_url,volume,dl_label,dl_pwd,dl_update,novel_link,update,main,alt
ロケット商会,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/判处勇者刑 惩罚勇者9004队刑务纪录 - ロケット商会 - 20241019.epub,4,b04eyvfed,hdga,2025-07-23,https://www.wenku8.net/book/3566.htm,2025-07-23,判处勇者刑 惩罚勇者9004队刑务纪录,
,,2,b00g3bzz5c,e9i2,2025-07-23,https://www.wenku8.net/book/3956.htm,2025-07-23,未婚夫与出轨对象私奔的我受到王子殿下的溺爱，即使现在他想回来，我也很困扰！,
白石定规,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/魔女之旅 - 白石定规 - 20240720.epub,23,b04e6fmtg,h3ed,2025-07-23,https://www.wenku8.net/book/2255.htm,2025-07-23,魔女之旅,
镜游,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/妹妹是不能当女友的，可是……(明明妹妹是不能做女友的) - 镜游 - 20240330.epub,5,b04ev4bch,1l76,2025-07-23,https://www.wenku8.net/book/3224.htm,2025-07-23,妹妹是不能当女友的，可是……,明明妹妹是不能做女友的
七野りく,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/公爵千金的家庭教师(公女殿下的家庭教师) - 七野りく - 20240417.epub,0,b04ex0dxi,hwi5,2025-07-22,https://www.wenku8.net/book/2757.htm,2025-07-22,公爵千金的家庭教师,公女殿下的家庭教师
长冈真纪子,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/位于恋爱光谱极端的我们(经验丰富的你和经验为零的我交往的故事) - 长冈真纪子 - 20240216.epub,8,b04eq1zef,6i6a,2025-07-22,https://www.wenku8.net/book/2994.htm,2025-07-22,位于恋爱光谱极端的我们,经验丰富的你和经验为零的我交往的故事
永岛ひろあき,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/再见龙生你好人生 - 永岛ひろあき - 20241228.epub,22,b04fdcu3i,3lnd,2025-07-21,https://www.wenku8.net/book/2224.htm,2025-07-21,再见龙生你好人生,
,,1,b00g3had1c,8lrf,2025-07-21,https://www.wenku8.net/book/3998.htm,2025-07-21,班上的公主是我的小狗,
夕蜜柑,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/怕痛的我，把防御力点满就对了 - 夕蜜柑 - 20240217.epub,17,b04e8hchi,cfcr,2025-07-21,https://www.wenku8.net/book/2480.htm,2025-07-21,怕痛的我，把防御力点满就对了,
西尾维新,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/怪盗弗拉努尔的巡回(怪盗系列) - 西尾维新 - 20230508.epub,1,b00g2fo9qj,4gqm,2025-07-20,https://www.wenku8.net/book/3451.htm,2025-07-20,怪盗弗拉努尔的巡回,怪盗系列
,,1,b00g3h6kdc,azs8,2025-07-20,https://www.wenku8.net/book/3992.htm,2025-07-20,被嘲笑是窗边族编辑的我，与双胞胎女高中生展开同居生活,
,,1,b00g3h6kla,grr0,2025-07-20,https://www.wenku8.net/book/3994.htm,2025-07-20,向海许愿 向风祈祷 而后向你起誓,
,,1,b00g3h6krg,a8cs,2025-07-20,https://www.wenku8.net/book/3995.htm,2025-07-20,愿明日的世界对你温柔以待,
,,1,b00g3h6l1g,hj18,2025-07-20,https://www.wenku8.net/book/3997.htm,2025-07-20,在烟花绽放的季节守护你,
,,2,b00g393pcf,apjm,2025-07-20,https://www.wenku8.net/book/3908.htm,2025-07-20,鬼人幻灯抄,
,,1,b00g3h6kxc,3kd1,2025-07-20,https://www.wenku8.net/book/3996.htm,2025-07-20,在那流星坠落的山丘，终与你相遇。,
,,1,b00g3h6jud,f9r3,2025-07-20,https://www.wenku8.net/book/3991.htm,2025-07-20,奇世界大纵走～救援者尤里的迷界手帐～,
结城凉,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/魔石传记 获得魔物力量的我是最强的！ - 结城凉 - 20240818.epub,6,b04f5nl7g,frg3,2025-07-20,https://www.wenku8.net/book/3589.htm,2025-07-20,魔石传记 获得魔物力量的我是最强的！,
,,1,b00g3h6kgf,2uw2,2025-07-20,https://www.wenku8.net/book/3993.htm,2025-07-20,DOPE缉毒部特别搜查课,
,,1,b00g3h1r0b,1kls,2025-07-18,https://www.wenku8.net/book/3990.htm,2025-07-18,人鱼的泡沫之恋,
谦之字,https://raw.githubusercontent.com/ixinzhi/lightnovel-2018to2020/master/拥有超弱技能「不起眼」的公会职员，其实是传说中的暗杀者 - 谦之字 - 20201221.epub,2,b00g3h1qsd,e0jp,2025-07-18,https://www.wenku8.net/book/2861.htm,2025-07-18,拥有超弱技能「不起眼」的公会职员，其实是传说中的暗杀者,
雨川透子,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/轮回第7次的坏人大小姐，在原本的敌国自由自在地享受新娘生活(轮回第7次的反派千金) - 雨川透子 - 20241031.epub,短篇集,b00g2dxtgb,2cyp,2025-07-17,https://www.wenku8.net/book/2864.htm,2025-07-17,轮回第7次的坏人大小姐，在原本的敌国自由自在地享受新娘生活,轮回第7次的反派千金
三上延,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/百鬼园事件帖 - 三上延 - 20231204.epub,1,b04ewwmkf,8btp,2025-07-17,https://www.wenku8.net/book/3555.htm,2025-07-17,百鬼园事件帖,
端樱了,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/在男子禁止的游戏世界里，我唯一该做的事情 - 端樱了 - 20230828.epub,8,b00g2k8nyf,epom,2025-07-17,https://www.wenku8.net/book/3498.htm,2025-07-17,在男性禁入的游戏世界里，我唯一该做的事情,在男子禁止的游戏世界里，我唯一该做的事情
,,1,b00g3gz6ra,a5l6,2025-07-17,https://www.wenku8.net/book/3988.htm,2025-07-17,玩乐关系,
,,1,b00g3gz6ha,gkf2,2025-07-17,https://www.wenku8.net/book/3987.htm,2025-07-17,在这个星球与你一起活下去的数亿个理由,
,,2,b00g393p1e,8ff7,2025-07-17,https://www.wenku8.net/book/3906.htm,2025-07-17,兼职家事服务的我，意外被校园第一美少女全家人所喜爱,
,,1,b00g3gz62f,61eq,2025-07-17,https://www.wenku8.net/book/3989.htm,2025-07-17,侦探不在教室里,
りゅうせんひろつぐ,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/自称贤者弟子的贤者 - りゅうせんひろつぐ - 20241019.epub,20,b04f0cnza,hzms,2025-07-16,https://www.wenku8.net/book/2537.htm,2025-07-16,自称贤者弟子的贤者,
,,3,b00g2y5t3g,ch12,2025-07-16,https://www.wenku8.net/book/3847.htm,2025-07-16,京都红庄奇谭,
,,3,b00g2zfk6b,47gx,2025-07-15,https://www.wenku8.net/book/3855.htm,2025-07-15,在异世界买土地开辟农场！,
,,2,b00g350k8j,aus1,2025-07-15,https://www.wenku8.net/book/3880.htm,2025-07-15,魔王与勇者的战斗背后,
,,1,b00g3glfqj,dy1u,2025-07-15,https://www.wenku8.net/book/3985.htm,2025-07-15,雨森润奈的湿度很高,
新八角,https://raw.githubusercontent.com/ixinzhi/lightnovel-2018to2020/master/血翼王亡命谭 - 新八角 - 20200216.epub,3,b00g38m6tg,2ves,2025-07-14,https://www.wenku8.net/book/2293.htm,2025-07-14,血翼王亡命谭,
,,1,b00g3glg1a,eipf,2025-07-12,https://www.wenku8.net/book/3986.htm,2025-07-12,谁才是我的百合呢！？,
,,3,b00g3bmk5e,8h0z,2025-07-11,https://www.wenku8.net/book/3947.htm,2025-07-11,这里是终末停滞委员会,
平坂读,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/怪人的沙拉碗 - 平坂读 - 20240902.epub,8,b04em66ib,eil4,2025-07-10,https://www.wenku8.net/book/3354.htm,2025-07-10,怪人的沙拉碗,
,,2,b00g393oob,dq8n,2025-07-10,https://www.wenku8.net/book/3905.htm,2025-07-10,安逸领主的愉快领地防卫,
,,1,b00g3a9cda,4d81,2025-07-10,https://www.wenku8.net/book/3933.htm,2025-07-10,综上所述，我们证明了初恋。,
,,1,b00g3gd7re,czi6,2025-07-09,https://www.wenku8.net/book/3984.htm,2025-07-09,关于我靠前世所学让底层职业的驯魔师大翻身这档事,
,,1,b00g3gd71i,aky6,2025-07-09,https://www.wenku8.net/book/3983.htm,2025-07-09,虚幻信任的假面舞会：诈欺师与少女的戏法旅程,
相泽沙呼,https://raw.githubusercontent.com/ixinzhi/lightnovel-2022/master/灵媒侦探城冢翡翠(翡翠少女) - 相泽沙呼 - 20221115.epub,3,b00g33s6ra,5x61,2025-07-08,https://www.wenku8.net/book/3151.htm,2025-07-08,灵媒侦探城冢翡翠,翡翠少女
,,1,b00g3g8qef,bphc,2025-07-08,https://www.wenku8.net/book/3982.htm,2025-07-08,二人的蒙面作家,
,,1,b00g3g5q0d,2oyb,2025-07-07,https://www.wenku8.net/book/3981.htm,2025-07-07,放逐商人的金钱济世录,
凑佳苗,https://raw.githubusercontent.com/ixinzhi/lightnovel-2009to2013/master/告白 - 凑佳苗 - 20101023.epub,1,b00g3g5pre,89u6,2025-07-07,https://www.wenku8.net/book/3980.htm,2025-07-07,告白击,
谦之字,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/开挂药师的悠闲生活 - 谦之字 - 20210104.epub,1,b00g3g2pva,8jyn,2025-07-06,https://www.wenku8.net/book/2869.htm,2025-07-06,开挂药师的悠闲生活,
陆奥こはる,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/被坐在后面的辣妹喜欢上，我快要没辙了 - 陆奥こはる - 20240419.epub,3,b04e7ifyd,8ycy,2025-07-06,https://www.wenku8.net/book/3479.htm,2025-07-06,被坐在后面的辣妹喜欢上，我快要没辙了,
子子子子子子子,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/破魔阴阳师的复仇术法 - 子子子子子子子 - 20231101.epub,1,b00g3g2pqf,d52y,2025-07-06,https://www.wenku8.net/book/2846.htm,2025-07-06,破魔阴阳师的复仇术法,
筱宫夕,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/冰川老师想交个宅宅男友 - 筱宫夕 - 20210821.epub,3,b00g3g2pih,b5fc,2025-07-06,https://www.wenku8.net/book/2832.htm,2025-07-06,冰川老师想交个宅宅男友,
初美阳一,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/最强奴隶商的烙印魔术与美少女的堕落 - 初美阳一 - 20210512.epub,3,b00g3g2pnc,csyu,2025-07-06,https://www.wenku8.net/book/2840.htm,2025-07-06,最强奴隶商的烙印魔术与美少女的堕落,
玖城ナギ,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/金钱在败者手中流转(钱为败者所有之物) - 玖城ナギ - 20210106.epub,3,b00g3g2p7g,c4kt,2025-07-06,https://www.wenku8.net/book/2397.htm,2025-07-06,金钱在败者手中流转,钱为败者所有之物
,,1,b00g3g0cwb,98rw,2025-07-05,https://www.wenku8.net/book/3979.htm,2025-07-05,泰坦 TITAN,
水镜月圣,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/我们的『阅读理解』出错了 - 水镜月圣 - 20241114.epub,3,b00g314v4b,9fed,2025-07-05,https://www.wenku8.net/book/3587.htm,2025-07-05,我们在「解读」上犯了错误,我们的『阅读理解』出错了
,,1,b00g3fx6hc,dm5m,2025-07-04,https://www.wenku8.net/book/3978.htm,2025-07-04,我的青梅竹马似乎是第一女主角,
